penalty,support,status,norm,prime,valuation,gcd_degree
5,-1:1;1:4;1:30,obstructed,26632771314897322584117747702849039034541,401,1,1
5,-1:1;1:4;1:31,survivor,26710947042536830248498214858987850671553,,,
5,-1:1;1:4;1:32,obstructed,26708206933341716653791450786516202874917,219884083,1,1
5,-1:1;1:4;1:33,obstructed,26250753339001774152658379537300046363337,523188959686091,1,1
5,-1:1;1:5;1:6,obstructed,25873844444278386567900517529843279774321,4019,1,1
5,-1:1;1:5;1:7,obstructed,26570280638118817782343157045166900829069,16883,1,1
5,-1:1;1:5;1:8,obstructed,26642708247797839505251864970487270702731,1741,1,1
5,-1:1;1:5;1:9,obstructed,26709275976182260177641035940625198526413,167637727879,1,1
5,-1:1;1:5;1:10,obstructed,27034972079848076380822944601816674147179,2411,1,1
5,-1:1;1:5;1:11,obstructed,26709681151014032116273674757116160889377,401,1,1
5,-1:1;1:5;1:12,obstructed,26647495821741217799733022595535695256149,6546872303,1,1
5,-1:1;1:5;1:13,survivor,26639089797148617827824246861356106296611,,,
5,-1:1;1:5;1:14,obstructed,26633273339953674276915843553738506106507,17419,1,1
5,-1:1;1:5;1:15,survivor,26614883755615462586964383024120788327951,,,
5,-1:1;1:5;1:16,obstructed,26633344314215979291575690231081762292127,74101,1,1
5,-1:1;1:5;1:17,survivor,26636561103919522375936409647363454871661,,,
5,-1:1;1:5;1:18,obstructed,26640522827764040149738622129979529426939,10422752489,1,1
5,-1:1;1:5;1:19,obstructed,26642373210595365991608357995661692020793,398113,1,1
5,-1:1;1:5;1:20,obstructed,26639700764131181683047766121866100995657,937,1,1
5,-1:1;1:5;1:21,survivor,26633772745247011270624720062974237222671,,,
5,-1:1;1:5;1:22,obstructed,26663364974249355764314111581105926235877,528439451,1,1
5,-1:1;1:5;1:23,obstructed,26641841664815706429293667824047070816227,49268851,1,1
5,-1:1;1:5;1:24,survivor,26614688247199892155942440249038996581523,,,
5,-1:1;1:5;1:25,obstructed,26639154724939418957915923334960622338371,20903,1,1
5,-1:1;1:5;1:26,survivor,26642824867170044197996888430937982461757,,,
5,-1:1;1:5;1:27,obstructed,26639022572859895949345169210445390895387,1332763,1,1
5,-1:1;1:5;1:28,obstructed,26630428057979750788213547410785278865769,8534973204991,1,1
5,-1:1;1:5;1:29,obstructed,26630599691813682572770638707939974359167,573787,1,1
5,-1:1;1:5;1:30,obstructed,26647456726352805537926603762489425594373,937,1,1
5,-1:1;1:5;1:31,survivor,27034988084025531699581696877931535878813,,,
5,-1:1;1:5;1:32,obstructed,26645057069782684252646057426451179377027,4153,1,1
5,-1:1;1:5;1:33,obstructed,26248501660531556636410844562793498953533,401,1,1
5,-1:1;1:6;1:7,survivor,25873659613783640426683046838222665064119,,,
5,-1:1;1:6;1:8,survivor,26568707229973625503925090706198814194403,,,
5,-1:1;1:6;1:9,survivor,26637044889471770513621243784368253544991,,,
5,-1:1;1:6;1:10,obstructed,26647220175091253742164701499958425376191,156511,1,1
5,-1:1;1:6;1:11,obstructed,26709589461810235092707780452957528996579,401,1,1
5,-1:1;1:6;1:12,obstructed,27034892580261788231198799874110961055681,22241587,1,1
5,-1:1;1:6;1:13,obstructed,26709623006331504936125551961173115501009,17419,1,1
5,-1:1;1:6;1:14,survivor,26647431035725826838757538726288386901983,,,
5,-1:1;1:6;1:15,obstructed,26640170011852437635014465956347272081391,1741,1,1
5,-1:1;1:6;1:16,survivor,26638041541201608235109953198139896683103,,,
5,-1:1;1:6;1:17,obstructed,26631664611313398065643659094551153341399,477506801059,1,1
5,-1:1;1:6;1:18,survivor,26616028253279541956381422548563100852787,,,
5,-1:1;1:6;1:19,obstructed,26633352632031602284474315487418100402159,22685752873249871,1,1
5,-1:1;1:6;1:20,survivor,26632237777290865397330318825662030355363,,,
5,-1:1;1:6;1:21,obstructed,26637942817715124169822574164237069436197,3617,1,1
5,-1:1;1:6;1:22,survivor,26663198733358932106710152560592925250493,,,
5,-1:1;1:6;1:23,obstructed,26642380782199764002506906343098485005927,36521029,1,1
5,-1:1;1:6;1:24,obstructed,26635577795781108589708542897334885103729,1607,1,1
5,-1:1;1:6;1:25,obstructed,26639392377582156351935516308313809848361,937,1,1
5,-1:1;1:6;1:26,obstructed,26639758200100993110489782744315435288677,4019,1,1
5,-1:1;1:6;1:27,obstructed,26630653815967514100628378808965519890139,2411,1,1
5,-1:1;1:6;1:28,survivor,26630191312998409743519558095526412319869,,,
5,-1:1;1:6;1:29,obstructed,26639644887112422325063923300912916549513,6029,1,1
5,-1:1;1:6;1:30,obstructed,26709526164299531575331979179638325635457,937,1,1
5,-1:1;1:6;1:31,obstructed,26709569003469305763670451101439348743451,401,1,1
5,-1:1;1:6;1:32,survivor,26638343528233930587703812920282538191017,,,
5,-1:1;1:6;1:33,obstructed,26248329751157847202996105021116654423271,975335910799,1,1
5,-1:1;1:7;1:8,obstructed,25873645401596978055381746314656067030111,401,1,1
5,-1:1;1:7;1:9,obstructed,26568474538309533640179109269221002717399,2371129,1,1
5,-1:1;1:7;1:10,survivor,26634144333318132112501809312901611197527,,,
5,-1:1;1:7;1:11,obstructed,26640239457742401543233304092391342202801,377477,1,1
5,-1:1;1:7;1:12,survivor,26647398450282101226661993178992707848143,,,
